VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1/1/2019 0:26,1/1/2019 0:40,1,4.1,1,N,137,75,1,14,0.5,0.5,0,0,0.3,15.3,
2,1/1/2019 0:44,1/1/2019 0:55,1,2.69,1,N,236,41,2,10.5,0.5,0.5,0,0,0.3,11.8,
2,1/1/2019 0:57,1/1/2019 1:13,1,4.36,1,N,41,50,1,15.5,0.5,0.5,3.36,0,0.3,20.16,
2,1/1/2019 0:36,1/1/2019 0:54,2,3.79,1,N,68,88,1,14.5,0.5,0.5,4.74,0,0.3,20.54,
2,1/1/2019 0:56,1/1/2019 1:12,2,3.52,1,N,88,90,2,13.5,0.5,0.5,0,0,0.3,14.8,
1,1/1/2019 0:19,1/1/2019 0:28,1,1.5,1,N,74,168,2,8,0.5,0.5,0,0,0.3,9.3,
1,1/1/2019 0:10,1/1/2019 0:13,1,0.7,1,N,249,113,1,4.5,0.5,0.5,1.15,0,0.3,6.95,
1,1/1/2019 0:17,1/1/2019 0:34,2,2.1,1,N,79,161,2,12,0.5,0.5,0,0,0.3,13.3,
1,1/1/2019 0:58,1/1/2019 1:07,2,1.4,1,N,107,79,1,8,0.5,0.5,2.3,0,0.3,11.6,
1,1/1/2019 0:21,1/1/2019 0:41,1,3.6,1,N,170,75,2,15.5,0.5,0.5,0,0,0.3,16.8,
1,1/1/2019 0:45,1/1/2019 1:24,1,5.2,1,N,75,246,1,25.5,0.5,0.5,5.35,0,0.3,32.15,
1,1/1/2019 0:20,1/1/2019 0:33,2,1.3,1,N,264,170,1,9.5,0.5,0.5,2.15,0,0.3,12.95,
1,1/1/2019 0:35,1/1/2019 0:42,1,1.7,1,N,233,141,1,7.5,0.5,0.5,2,0,0.3,10.8,
1,1/1/2019 0:53,1/1/2019 1:07,1,1.9,1,N,229,234,2,10.5,0.5,0.5,0,0,0.3,11.8,
1,1/1/2019 0:21,1/1/2019 0:35,1,2.6,1,N,148,246,2,12,0.5,0.5,0,0,0.3,13.3,
1,1/1/2019 0:36,1/1/2019 0:56,2,2.9,1,N,246,79,1,14,0.5,0.5,3,0,0.3,18.3,
2,1/1/2019 0:15,1/1/2019 0:33,2,2.08,1,N,48,68,1,12.5,0.5,0.5,3.45,0,0.3,17.25,
2,1/1/2019 0:53,1/1/2019 1:10,2,0.74,1,N,68,68,2,11,0.5,0.5,0,0,0.3,12.3,
2,1/1/2019 0:10,1/1/2019 0:24,1,2.26,1,N,107,161,1,11,0.5,0.5,2.46,0,0.3,14.76,
2,1/1/2019 0:30,1/1/2019 0:34,1,0.93,1,N,161,162,2,5,0.5,0.5,0,0,0.3,6.3,
